Easting Northing Density Moisture
9 12 1.371 0.3166
9 13 1.564 0.2911
9 14 1.492 0.3485
9 15 1.47 0.3284
9 16 1.486 0.2938
9 17 1.455 0.3371
9 18 1.516 0.3155
9 19 1.328 0.3752
9 20 1.486 0.3398
9 21 1.459 0.3044
9 22 1.707 0.2973
9 23 1.473 0.3017
9 24 1.693 0.2736
9 25 1.334 0.3509
10 1 1.654 0.2696
10 2 1.504 0.2534
10 3 1.494 0.2607
10 4 1.63 0.2442
10 5 1.609 0.2366
10 6 1.504 0.2985
10 7 1.464 0.3282
10 8 1.418 0.2932
10 9 1.495 0.3164
10 10 1.403 0.3281
10 11 1.481 0.3154
10 12 1.323 0.3288
10 13 1.488 0.331
10 14 1.383 0.3089
10 15 1.42 0.3248
10 16 1.437 0.3149
10 17 1.634 0.2751
10 18 1.348 0.298
10 19 1.438 0.3614
10 20 1.506 0.3137
10 21 1.446 0.2389
10 22 1.514 0.3042
10 23 1.564 0.3025
10 24 1.561 0.2884
10 25 1.443 0.2692
